customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state
ZI47663,Arizona,F,Bachelor,1274184.75%,73054.0,106.0,1/1/00,Personal Auto,SUV,419.365958,California
GO14008,Oregon,F,Bachelor,539809.81%,73775.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,California
BC43958,California,M,High School or Below,728503.10%,44788.0,61.0,1/0/00,Corporate Auto,Four-Door Car,386.031248,California
AI61368,Nevada,F,High School or Below,1765196.34%,22510.0,95.0,1/0/00,Personal Auto,Four-Door Car,456.0,California
UF37831,Arizona,M,Master,1702989.34%,54613.0,213.0,1/0/00,Personal Auto,Luxury SUV,731.559007,California
PO90615,Arizona,F,High School or Below,249125.76%,25965.0,65.0,1/0/00,Personal Auto,Four-Door Car,329.206567,California
GY74661,Oregon,F,College,403931.50%,34911.0,105.0,1/1/00,Personal Auto,SUV,126.779673,California
MX50302,Oregon,M,Bachelor,261933.74%,78618.0,66.0,1/0/00,Special Auto,Two-Door Car,225.578841,California
TC84427,Oregon,F,High School or Below,504968.96%,61080.0,66.0,1/2/00,Personal Auto,Four-Door Car,294.284951,California
IQ82914,Oregon,F,Master,498345.71%,60415.0,62.0,1/0/00,Personal Auto,Two-Door Car,72.665253,California
TY74870,California,F,Master,253063.94%,25143.0,66.0,1/0/00,Corporate Auto,Four-Door Car,8.737111,California
II83628,California,M,College,739671.97%,41045.0,64.0,1/1/00,Personal Auto,Four-Door Car,394.582401,California
ZR77995,California,M,College,383289.85%,97729.0,95.0,1/0/00,Personal Auto,Four-Door Car,97.176153,California
QT89604,Arizona,F,High School or Below,496140.59%,55702.0,61.0,1/0/00,Personal Auto,Four-Door Car,151.13336,California
AB21519,California,F,College,386148.63%,93272.0,95.0,1/0/00,Personal Auto,Four-Door Car,281.110788,California
MP47256,California,M,Bachelor,2265853.65%,23665.0,67.0,1/0/00,Personal Auto,Four-Door Car,404.817249,California
MA47641,Oregon,M,High School or Below,1040896.87%,20228.0,101.0,1/1/00,Personal Auto,SUV,523.815839,California
GQ20713,Nevada,F,College,483471.05%,38713.0,66.0,1/4/00,Personal Auto,Four-Door Car,316.8,California
WW87934,Arizona,F,Bachelor,825766.65%,23815.0,73.0,1/0/00,Personal Auto,Four-Door Car,424.330166,California
HF75276,Nevada,F,High School or Below,305262.95%,0.0,93.0,1/3/00,Personal Auto,Four-Door Car,446.4,California
ET64028,California,F,High School or Below,401231.93%,47221.0,99.0,1/0/00,Personal Auto,Two-Door Car,475.2,California
QA41472,Oregon,M,Bachelor,1335548.64%,34495.0,113.0,1/0/00,Personal Auto,SUV,389.673944,California
OZ92426,Oregon,M,College,236443.16%,46264.0,62.0,1/0/00,Corporate Auto,Four-Door Car,199.37361,California
UM69933,Nevada,M,College,248933.79%,46051.0,63.0,1/0/00,Personal Auto,Two-Door Car,302.4,California
RQ11502,Nevada,F,Bachelor,475572.00%,23975.0,128.0,1/0/00,Corporate Auto,SUV,614.4,California
TX98128,California,F,College,1386438.50%,0.0,74.0,1/4/00,Personal Auto,Four-Door Car,580.886785,California
XY52165,Arizona,F,College,302042.48%,78561.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2,California
GB39003,California,M,High School or Below,628530.52%,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,432.0,California
VH43367,California,F,High School or Below,250602.20%,61402.0,63.0,1/2/00,Special Auto,Four-Door Car,302.4,California
KG81168,Arizona,M,Bachelor,282630.76%,65090.0,71.0,1/0/00,Personal Auto,Four-Door Car,73.995096,California
WU14549,Nevada,M,Master,436971.79%,88495.0,108.0,1/0/00,Personal Auto,Two-Door Car,535.926948,California
XB17553,Nevada,M,Bachelor,1217458.80%,52797.0,104.0,1/1/00,Personal Auto,Sports Car,88.173438,California
MY88518,Nevada,M,Doctor,352804.43%,31278.0,92.0,1/4/00,Personal Auto,Two-Door Car,441.6,California
XE18554,California,F,Bachelor,1043657.47%,24177.0,92.0,1/1/00,Personal Auto,Four-Door Car,441.6,California
NY97446,Oregon,F,High School or Below,274612.14%,96339.0,68.0,1/0/00,Corporate Auto,Four-Door Car,293.205349,California
VT96364,California,M,Bachelor,917517.19%,68164.0,119.0,1/2/00,Personal Auto,Four-Door Car,222.582872,California
HF88410,Washington,F,High School or Below,2300.691547,36765.0,66.0,1/1/00,Personal Auto,Four-Door Car,320.849072,California
DP92488,Washington,F,Doctor,272752.08%,74592.0,67.0,1/0/00,Personal Auto,Two-Door Car,321.6,California
VC54081,Oregon,F,College,944974.59%,0.0,63.0,1/0/00,Special Auto,Four-Door Car,117.744416,California
CE94751,California,M,College,456881.94%,0.0,70.0,1/1/00,Personal Auto,Two-Door Car,524.836298,California
VM85856,Oregon,F,Master,257402.04%,34990.0,65.0,1/0/00,Personal Auto,Four-Door Car,42.689135,California
EH37385,Arizona,F,Master,878988.41%,22849.0,109.0,1/0/00,Personal Auto,Sports Car,523.2,California
FI45719,Arizona,M,Doctor,250740.78%,32893.0,63.0,1/0/00,Personal Auto,Four-Door Car,174.086385,California
SB79528,Oregon,M,College,252241.46%,0.0,73.0,1/0/00,Corporate Auto,Two-Door Car,350.4,California
WH81461,Nevada,M,College,754271.40%,0.0,111.0,1/0/00,Personal Auto,SUV,1186.972445,California
UD47050,Oregon,M,High School or Below,600521.48%,26876.0,76.0,1/0/00,Corporate Auto,Four-Door Car,364.8,California
XZ17273,Nevada,M,Bachelor,2099825.95%,71663.0,74.0,1/0/00,Corporate Auto,Four-Door Car,84.494022,California
XR97812,California,M,College,234508.45%,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,California
BW88060,California,F,High School or Below,878316.54%,16994.0,112.0,1/0/00,Personal Auto,SUV,806.4,California
CP32818,Oregon,M,Bachelor,452996.54%,64270.0,117.0,1/0/00,Personal Auto,Sports Car,46.104534,California
CM52565,Nevada,F,High School or Below,603322.24%,0.0,83.0,1/0/00,Corporate Auto,Four-Door Car,597.6,California
YP40334,Oregon,F,Doctor,530824.70%,0.0,145.0,1/0/00,Personal Auto,SUV,358.765757,California
KD63998,California,M,College,267473.07%,56342.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,California
VC77127,California,F,High School or Below,492980.75%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,837.438442,California
AM30008,California,M,High School or Below,1413112.13%,28327.0,185.0,1/0/00,Personal Auto,Luxury Car,888.0,California
PC83755,Oregon,M,High School or Below,247152.84%,95697.0,61.0,1/0/00,Personal Auto,Two-Door Car,114.273025,California
XS22323,Arizona,M,High School or Below,600521.48%,26876.0,76.0,1/0/00,Personal Auto,Four-Door Car,364.8,California
ST27958,Washington,M,College,438627.76%,10621.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,California
BH23017,Nevada,F,Bachelor,1911656.81%,0.0,61.0,1/0/00,Personal Auto,Two-Door Car,657.808231,California
OD18225,California,M,College,663166.55%,32918.0,84.0,1/0/00,Personal Auto,Four-Door Car,403.2,California
VE31507,Oregon,F,High School or Below,743229.99%,0.0,71.0,1/0/00,Personal Auto,Four-Door Car,447.333545,California
NR18672,Nevada,M,High School or Below,292811.51%,63127.0,74.0,1/1/00,Personal Auto,Two-Door Car,174.292234,California
DM76654,California,M,College,4661187.38%,22022.0,136.0,1/0/00,Personal Auto,SUV,979.2,California
YY11432,Oregon,F,High School or Below,1651500.93%,51725.0,138.0,1/1/00,Personal Auto,SUV,159.004261,California
GK67747,Washington,M,College,438627.76%,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6,California
XA75063,Oregon,F,College,1021356.34%,39719.0,131.0,1/0/00,Personal Auto,Sports Car,628.8,California
PQ13422,Nevada,M,College,1004928.59%,58194.0,84.0,1/0/00,Personal Auto,Four-Door Car,450.996589,California
NA89685,Oregon,M,College,574614.83%,61990.0,72.0,1/0/00,Personal Auto,Four-Door Car,48.884434,California
AL35726,Oregon,F,College,374675.16%,41479.0,94.0,1/1/00,Personal Auto,Two-Door Car,19.575683,California
WO70078,Oregon,F,Bachelor,748606.84%,97899.0,95.0,1/3/00,Personal Auto,Four-Door Car,3.772105,California
CA56041,Nevada,F,College,912006.52%,63878.0,113.0,1/0/00,Personal Auto,SUV,370.285349,California
HI41970,Oregon,F,High School or Below,567804.67%,68671.0,70.0,1/0/00,Special Auto,Two-Door Car,8.076879,California
AU46443,Nevada,F,Bachelor,751708.38%,0.0,102.0,1/0/00,Personal Auto,SUV,1178.995926,California
WC35554,Oregon,M,College,453053.07%,34640.0,117.0,1/2/00,Personal Auto,Sports Car,466.318191,California
JR10216,California,F,Bachelor,269138.06%,21959.0,71.0,1/0/00,Corporate Auto,Four-Door Car,340.8,California
OH11674,Arizona,F,Bachelor,806862.39%,51584.0,69.0,1/2/00,Corporate Auto,Two-Door Car,368.919773,California
US85318,Oregon,F,Bachelor,247857.67%,65744.0,62.0,1/0/00,Corporate Auto,Four-Door Car,166.507217,California
FS19862,Arizona,F,Bachelor,911204.15%,25198.0,118.0,1/0/00,Personal Auto,SUV,566.4,California
ZP80713,Arizona,F,Master,277244.13%,79663.0,69.0,1/0/00,Personal Auto,Two-Door Car,263.957201,California
OK50159,Arizona,F,Bachelor,430579.32%,31071.0,111.0,1/2/00,Personal Auto,Sports Car,215.23091,California
TP54769,California,F,Bachelor,510335.76%,39452.0,131.0,1/0/00,Corporate Auto,SUV,398.190882,California
FS49381,Oregon,F,Bachelor,478496.05%,25813.0,61.0,1/0/00,Personal Auto,Four-Door Car,205.332749,California
DQ79499,Oregon,F,Doctor,1054110.98%,59965.0,131.0,1/0/00,Personal Auto,SUV,905.030448,California
VH31965,Washington,Male,Bachelor,528511.87%,40783.0,67.0,1/1/00,Personal Auto,Four-Door Car,321.6,California
VO25602,Nevada,F,College,761084.05%,98701.0,94.0,1/0/00,Personal Auto,Four-Door Car,79.615631,California
EP93369,Arizona,F,College,851052.59%,0.0,121.0,1/0/00,Personal Auto,Sports Car,871.2,California
DQ45854,Oregon,F,College,1617294.05%,64388.0,68.0,1/0/00,Personal Auto,Four-Door Car,12.394834,California
QG15661,Oregon,M,College,242549.48%,66841.0,62.0,1/0/00,Personal Auto,Four-Door Car,123.436634,California
YA80645,Oregon,F,High School or Below,289931.72%,33738.0,74.0,1/1/00,Corporate Auto,Four-Door Car,304.390472,California
TW16499,California,M,Bachelor,363305.40%,43334.0,95.0,1/2/00,Corporate Auto,Two-Door Car,614.367195,California
UP97629,California,F,College,345715.42%,0.0,91.0,1/0/00,Personal Auto,Four-Door Car,245.673365,California
NU42684,Nevada,F,College,339472.03%,83431.0,84.0,1/0/00,Personal Auto,Four-Door Car,403.2,California
EM85557,Washington,F,College,802106.71%,54292.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,California
BM69818,Oregon,M,Bachelor,584152.81%,0.0,79.0,1/0/00,Personal Auto,Four-Door Car,379.2,California
HK15299,California,M,High School or Below,547985.42%,38210.0,69.0,1/0/00,Personal Auto,Four-Door Car,383.043363,California
NP88496,Nevada,F,High School or Below,2045524.95%,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4,California
SB99002,Oregon,F,Bachelor,831912.30%,49734.0,69.0,1/0/00,Corporate Auto,Four-Door Car,154.748539,California
ZH42145,Washington,F,High School or Below,258286.23%,50148.0,65.0,1/0/00,Corporate Auto,Four-Door Car,323.485239,California
JG30837,Oregon,M,College,416379.34%,11689.0,117.0,1/0/00,Corporate Auto,SUV,561.6,California
AC22873,Arizona,F,High School or Below,485310.03%,17120.0,125.0,1/0/00,Special Auto,SUV,717.285949,California
RO85831,Oregon,M,High School or Below,753169.73%,82157.0,188.0,1/0/00,Corporate Auto,Luxury Car,1353.6,California
NN65845,Washington,F,Bachelors,258593.70%,21603.0,68.0,1/2/00,Personal Auto,Four-Door Car,326.4,California
RZ27571,Washington,F,Bachelor,269596.39%,25544.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4,California
GH31557,California,M,High School or Below,268458.16%,98121.0,67.0,1/0/00,Personal Auto,Two-Door Car,383.655742,California
MK73855,Washington,F,High School or Below,810936.46%,32314.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4,California
IO27771,Oregon,F,College,903665.76%,89382.0,112.0,1/0/00,Corporate Auto,Four-Door Car,573.990258,California
HB99061,Arizona,F,High School or Below,535218.70%,97742.0,132.0,1/0/00,Corporate Auto,SUV,199.590599,California
HQ82089,Arizona,F,High School or Below,1188096.62%,0.0,114.0,1/0/00,Personal Auto,Four-Door Car,820.8,California
JN72184,Oregon,M,College,255709.43%,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,525.6,California
WQ46946,California,F,College,791482.31%,77153.0,99.0,1/1/00,Personal Auto,Four-Door Car,355.641958,California
WJ44028,California,M,Master,984008.26%,94590.0,81.0,1/0/00,Personal Auto,Two-Door Car,388.8,California
WH77063,Arizona,F,High School or Below,435155.05%,74163.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.4,California
FI13966,Oregon,F,High School or Below,2220782.62%,40450.0,287.0,1/3/00,Personal Auto,Luxury SUV,1377.6,California
AQ46199,Oregon,M,High School or Below,482525.86%,0.0,71.0,1/0/00,Personal Auto,Two-Door Car,511.2,California
WV69362,Arizona,F,High School or Below,694783.88%,0.0,99.0,1/0/00,Corporate Auto,Two-Door Car,475.2,California
RJ90816,California,F,College,334480.95%,33243.0,85.0,1/0/00,Personal Auto,Four-Door Car,24.555177,California
NH19236,Arizona,M,Master,235750.31%,0.0,64.0,1/0/00,Personal Auto,Four-Door Car,199.791024,California
VW88911,Oregon,M,High School or Below,3594471.05%,0.0,114.0,1/0/00,Corporate Auto,Four-Door Car,820.8,California
NV14535,Nevada,M,High School or Below,1040896.87%,20228.0,101.0,1/1/00,Personal Auto,SUV,523.815839,California
BM66931,Arizona,F,High School or Below,404816.13%,92801.0,100.0,1/0/00,Personal Auto,SUV,407.045238,California
JW24035,Oregon,M,College,685200.19%,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,406.999443,California
PG82270,California,M,College,290302.42%,36845.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,California
RW65101,California,F,College,1803911.42%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,503.204804,California
QO79771,California,F,Master,324204.39%,72330.0,81.0,1/2/00,Personal Auto,Four-Door Car,126.509441,California
EC44438,Nevada,F,Bachelor,246762.08%,19352.0,65.0,1/0/00,Personal Auto,Four-Door Car,724.463534,California
MW54213,Arizona,M,College,567438.34%,0.0,62.0,1/5/00,Personal Auto,Four-Door Car,297.6,California
ZN33412,Arizona,F,College,863435.60%,25073.0,79.0,1/0/00,Personal Auto,Four-Door Car,379.2,California
HZ56678,Oregon,F,High School or Below,278019.69%,20261.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,California
AN36757,Oregon,M,Master,2205600.50%,66851.0,92.0,1/2/00,Personal Auto,Four-Door Car,408.550442,California
NB54665,Arizona,F,High School or Below,251459.20%,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914,California
MG99229,Oregon,M,College,588622.11%,0.0,180.0,1/0/00,Corporate Auto,Luxury Car,1777.471271,California
MX76292,California,F,Doctor,770603.63%,48019.0,64.0,1/0/00,Corporate Auto,Four-Door Car,137.665031,California
EJ90880,California,M,College,279045.82%,28786.0,71.0,1/1/00,Personal Auto,Four-Door Car,345.619809,California
WO95180,California,F,High School or Below,239703.61%,22283.0,65.0,1/0/00,Corporate Auto,Four-Door Car,572.072106,California
BU53191,Arizona,F,Bachelor,883432.28%,34133.0,111.0,1/0/00,Personal Auto,SUV,226.9684,California
ZK54897,Arizona,M,Master,1443567.37%,60880.0,119.0,1/0/00,Personal Auto,Two-Door Car,109.906628,California
PP48389,California,F,Bachelor,687196.66%,0.0,196.0,1/2/00,Personal Auto,Sports Car,940.8,California
XD29421,Oregon,M,High School or Below,1536235.44%,48115.0,192.0,1/0/00,Personal Auto,Luxury Car,1382.4,California
OP26403,California,F,College,483479.75%,32017.0,62.0,1/2/00,Personal Auto,Four-Door Car,297.6,California
XK15687,Oregon,F,High School or Below,1089930.18%,58518.0,136.0,1/0/00,Personal Auto,SUV,323.637414,California
ED29955,California,M,Bachelor,528404.10%,61542.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,California
QT84720,Oregon,F,Bachelor,289172.68%,56761.0,73.0,1/1/00,Corporate Auto,Two-Door Car,85.146928,California
ZH35315,California,M,College,490054.51%,22976.0,66.0,1/0/00,Personal Auto,Four-Door Car,345.951322,California
EE76374,Nevada,F,High School or Below,2084259.63%,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,709.082334,California
SH51981,Washington,M,College,524605.72%,70301.0,67.0,1/0/00,Personal Auto,Four-Door Car,328.942798,California
BS13111,Arizona,M,Bachelor,663083.61%,0.0,66.0,1/0/00,Personal Auto,Four-Door Car,315.950185,California
JP12645,Arizona,M,Bachelor,1203662.05%,44428.0,104.0,1/0/00,Personal Auto,SUV,499.2,California
ZF28570,Nevada,M,Bachelor,389503.48%,52361.0,102.0,1/0/00,Personal Auto,Four-Door Car,645.952371,California
UU93074,California,M,College,1170106.99%,32435.0,297.0,1/0/00,Personal Auto,Luxury Car,1767.348807,California
SZ60450,California,M,High School or Below,341910.87%,40272.0,86.0,1/0/00,Personal Auto,Two-Door Car,23.387192,California
HL63895,Arizona,M,Master,730277.51%,30492.0,61.0,1/0/00,Personal Auto,Four-Door Car,171.38289,California
UD27196,Arizona,M,High School or Below,1968540.91%,51524.0,244.0,1/0/00,Personal Auto,Luxury Car,1171.2,California
OU53351,Arizona,M,College,248606.49%,36635.0,63.0,1/0/00,Corporate Auto,Four-Door Car,302.4,California
SX50964,Arizona,F,Bachelor,522432.88%,83389.0,65.0,1/0/00,Corporate Auto,Two-Door Car,209.25613,California
RP30093,Oregon,F,Bachelor,4922143.07%,63035.0,153.0,1/0/00,Personal Auto,SUV,734.4,California
BK73302,California,M,Bachelor,316788.87%,61638.0,82.0,1/2/00,Corporate Auto,Four-Door Car,544.340079,California
CS93971,Arizona,F,College,780531.29%,21073.0,106.0,1/1/00,Personal Auto,SUV,508.8,California
RG13940,California,F,College,1319792.89%,0.0,68.0,1/3/00,Personal Auto,Four-Door Car,326.4,California
ZG94155,Oregon,M,Bachelor,623430.59%,0.0,82.0,1/0/00,Personal Auto,Two-Door Car,192.7604,California
QN15356,Arizona,M,College,753960.06%,0.0,74.0,1/0/00,Personal Auto,Four-Door Car,532.8,California
MZ16820,Nevada,M,High School or Below,815793.36%,86811.0,102.0,1/0/00,Corporate Auto,Four-Door Car,489.6,California
DO98345,Oregon,M,High School or Below,1315674.90%,72517.0,82.0,1/0/00,Personal Auto,Two-Door Car,371.458196,California
PA48777,Washington,F,High School or Below,249125.76%,25965.0,5353.0,1/0/00,Personal Auto,Four-Door Car,329.206567,California
UK76814,Oregon,F,Doctor,533938.84%,84424.0,66.0,1/0/00,Personal Auto,Four-Door Car,231.537001,California
SR30440,California,F,College,864917.50%,43383.0,109.0,1/0/00,Personal Auto,SUV,757.593913,California
XE66367,Oregon,M,High School or Below,751913.36%,96306.0,95.0,1/1/00,Special Auto,Four-Door Car,185.355353,California
SZ70655,California,F,College,429300.96%,0.0,61.0,1/0/00,Corporate Auto,Two-Door Car,292.8,California
UV54502,Washington,female,High School or Below,253774.45%,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,California
DK98861,Arizona,F,College,1316033.89%,94125.0,109.0,1/0/00,Personal Auto,SUV,341.680131,California
JX14364,Oregon,M,College,1323554.44%,39778.0,112.0,1/0/00,Personal Auto,SUV,806.4,California
LI85491,Oregon,F,High School or Below,374457.77%,0.0,101.0,1/0/00,Personal Auto,SUV,727.2,California
JY87538,Oregon,F,College,2848607.28%,91871.0,102.0,1/0/00,Personal Auto,SUV,346.845129,California
VE55982,Nevada,M,Bachelor,264468.46%,54000.0,66.0,1/0/00,Corporate Auto,Two-Door Car,373.881547,California
WK99918,Oregon,M,Doctor,507328.21%,57709.0,125.0,1/0/00,Personal Auto,SUV,600.0,California
XP16538,Arizona,F,High School or Below,427258.51%,81132.0,107.0,1/0/00,Corporate Auto,SUV,419.105559,California
HW42900,California,M,College,1100301.65%,22926.0,93.0,1/0/00,Corporate Auto,Four-Door Car,479.934846,California
JG84729,Arizona,F,College,1418164.28%,0.0,72.0,1/2/00,Personal Auto,Four-Door Car,345.6,California
XH85336,Washington,M,Bachelor,554803.19%,67798.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,California
ND29059,Oregon,M,Bachelor,1107768.59%,78011.0,138.0,1/0/00,Personal Auto,SUV,619.698644,California
HC76653,Oregon,M,College,243568.90%,32931.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.6,California
SG73822,California,F,Bachelor,874385.22%,99517.0,109.0,1/0/00,Personal Auto,Four-Door Car,239.905208,California
CB44654,Arizona,M,Bachelor,240976.09%,59665.0,62.0,1/1/00,Personal Auto,Two-Door Car,167.138119,California
MP53505,Washington,F,High School or Below,550001.25%,86073.0,136.0,1/0/00,Corporate Auto,Sports Car,333.5671,California
YJ43481,Arizona,F,High School or Below,852828.87%,91099.0,107.0,1/0/00,Corporate Auto,SUV,406.430632,California
TP15362,Oregon,M,College,359199.61%,28013.0,91.0,1/0/00,Personal Auto,Four-Door Car,655.2,California
YX90754,Nevada,F,High School or Below,853982.69%,55478.0,71.0,1/0/00,Personal Auto,Two-Door Car,339.399593,California
TQ32702,Nevada,F,College,699091.78%,22568.0,88.0,1/0/00,Corporate Auto,Four-Door Car,422.4,California
TS50305,California,F,High School or Below,397938.82%,0.0,112.0,1/0/00,Personal Auto,SUV,806.4,California
BY22068,Arizona,M,High School or Below,2395037.44%,39335.0,201.0,1/0/00,Corporate Auto,Luxury SUV,964.8,California
TJ48439,Oregon,F,College,232105.25%,0.0,66.0,1/0/00,Personal Auto,Two-Door Car,508.703134,California
TE61015,Oregon,M,College,508702.05%,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,California
RD89159,Oregon,M,College,436293.12%,58842.0,110.0,1/0/00,Personal Auto,Four-Door Car,528.0,California
VW86720,Oregon,F,Bachelor,745746.81%,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,678.209827,California
UM76485,Oregon,M,College,702775.96%,0.0,102.0,1/0/00,Personal Auto,SUV,489.6,California
LS62045,Oregon,F,Bachelor,283168.37%,70037.0,70.0,1/0/00,Personal Auto,Four-Door Car,409.985435,California
ZG84862,Nevada,M,High School or Below,421785.79%,0.0,62.0,1/0/00,Personal Auto,Two-Door Car,446.4,California
CD76093,Nevada,M,College,759629.15%,59847.0,192.0,1/0/00,Corporate Auto,Luxury Car,921.6,California
FO99259,California,M,Bachelor,836567.76%,26630.0,118.0,1/0/00,Personal Auto,Four-Door Car,581.077056,California
KN87338,Oregon,F,High School or Below,272639.30%,48039.0,68.0,1/0/00,Personal Auto,Four-Door Car,11.451889,California
LT89398,California,M,High School or Below,342045.22%,0.0,92.0,1/0/00,Personal Auto,Four-Door Car,441.6,California
NZ19529,Arizona,M,High School or Below,483910.72%,0.0,137.0,1/0/00,Personal Auto,SUV,1227.458548,California
PR41853,Arizona,F,Bachelor,435855.35%,0.0,118.0,1/0/00,Corporate Auto,Sports Car,101.826804,California
ZF40671,Washington,F,Master,1242739.37%,15818.0,107.0,1/0/00,Personal Auto,Two-Door Car,333.886816,California
XR84971,Oregon,F,Doctor,2351585.33%,36537.0,85.0,1/0/00,Personal Auto,Four-Door Car,165.309001,California
BP83941,Arizona,F,Master,839632.76%,0.0,115.0,1/1/00,Personal Auto,SUV,552.0,California
PY80449,Arizona,M,High School or Below,517097.64%,53603.0,132.0,1/1/00,Personal Auto,Sports Car,697.272246,California
ET22260,Nevada,M,Doctor,558530.81%,0.0,80.0,1/0/00,Corporate Auto,Four-Door Car,6.281344,California
OF47250,California,F,Doctor,863949.50%,92374.0,107.0,1/1/00,Personal Auto,SUV,220.018279,California
WB58031,California,M,High School or Below,528183.35%,39658.0,66.0,1/0/00,Corporate Auto,Four-Door Car,316.8,California
UV80201,Oregon,F,Bachelor,838525.23%,0.0,116.0,1/0/00,Personal Auto,Sports Car,556.8,California
PY10605,Arizona,M,Bachelor,463310.13%,0.0,70.0,1/0/00,Personal Auto,Two-Door Car,336.0,California
JI82682,California,F,High School or Below,248039.27%,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,328.314222,California
BU14748,Arizona,M,High School or Below,361868.69%,50755.0,91.0,1/0/00,Personal Auto,Two-Door Car,436.8,California
QK18099,Washington,F,College,537584.28%,69050.0,67.0,1/0/00,Personal Auto,Four-Door Car,334.892437,California
LD26428,Oregon,M,Bachelor,489329.15%,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,680.047456,California
MY43761,California,M,High School or Below,1073768.43%,50607.0,137.0,1/0/00,Personal Auto,SUV,657.6,California
WQ89892,Washington,F,College,260781.55%,0.0,70.0,1/1/00,Special Auto,Two-Door Car,336.0,California
GY55415,Nevada,F,Bachelor,1572525.05%,0.0,149.0,1/0/00,Corporate Auto,SUV,1072.8,California
IB42395,Nevada,M,College,955341.55%,0.0,146.0,1/0/00,Corporate Auto,SUV,1051.2,California
ZU74482,Oregon,M,College,750745.54%,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886,California
NL74789,California,F,Bachelor,732492.82%,0.0,105.0,1/0/00,Special Auto,Two-Door Car,504.0,California
YU86594,Oregon,M,High School or Below,533303.81%,55674.0,66.0,1/0/00,Personal Auto,Four-Door Car,81.710575,California
QN37451,California,M,College,1276723.06%,0.0,189.0,1/0/00,Corporate Auto,Luxury Car,2201.327879,California
GD83998,Washington,M,Bachelor,265933.80%,24495.0,70.0,1/0/00,Personal Auto,Four-Door Car,336.0,California
IL83479,Oregon,F,College,348363.04%,42983.0,86.0,1/0/00,Personal Auto,Four-Door Car,412.8,California
EF87528,Arizona,M,College,463654.65%,26802.0,66.0,1/1/00,Special Auto,Two-Door Car,316.8,California
IV74747,California,M,Doctor,1753003.66%,0.0,97.0,1/0/00,Corporate Auto,Four-Door Car,469.229028,California
JZ81608,Oregon,M,High School or Below,697871.98%,53808.0,88.0,1/0/00,Personal Auto,Four-Door Car,189.835063,California
EO40136,Arizona,F,College,291224.84%,93403.0,73.0,1/0/00,Personal Auto,Four-Door Car,295.224598,California
ZR40902,Oregon,F,Bachelor,420927.93%,26435.0,111.0,1/1/00,Corporate Auto,Four-Door Car,1012.249308,California
PO89542,Oregon,F,Bachelor,500980.89%,0.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4,California
FX57380,California,F,Bachelor,521751.33%,39854.0,66.0,1/0/00,Personal Auto,Two-Door Car,261.930545,California
NM22175,Oregon,M,College,1149033.62%,0.0,161.0,1/0/00,Personal Auto,SUV,1052.933035,California
BC97773,Nevada,F,Master,286454.40%,91368.0,71.0,1/0/00,Personal Auto,Four-Door Car,395.328407,California
MN34012,Arizona,M,Bachelor,840391.02%,0.0,115.0,1/0/00,Personal Auto,SUV,552.0,California
KY29506,California,F,College,2039596.88%,92850.0,104.0,1/1/00,Personal Auto,Four-Door Car,499.2,California
VU84949,Washington,F,Bachelors,529263.25%,0.0,70.0,1/0/00,Personal Auto,Two-Door Car,336.0,California
HC20975,Arizona,M,Bachelor,1672777.19%,30915.0,72.0,1/2/00,Personal Auto,Four-Door Car,345.6,California
IF87079,Arizona,F,Master,580112.83%,48927.0,72.0,1/0/00,Personal Auto,Four-Door Car,139.354893,California
EP18940,Oregon,F,Bachelor,947297.38%,0.0,86.0,1/0/00,Personal Auto,Four-Door Car,412.8,California
SB44003,Arizona,F,College,1048491.54%,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,California
